category,selected_config,holdout_baseline_good_pass,holdout_selected_good_pass,holdout_selected_false_pass,relative_cnn_macs,relative_nn_ops,relative_total_proxy_ops,relative_bank_bytes_int8,relative_stream_bytes_int8,relative_cached_bytes_int8
bottle,res18_l23_g5_b250_topk0p005,1.0,0.94,0.051613,0.199354,0.000664,0.09575,0.005208,0.000664,0.005637
cable,res18_l23_g7_b1500_topk0p05,0.337931,0.337931,0.026087,0.199354,0.007812,0.099477,0.03125,0.007812,0.031752
capsule,wrn_l2_g14_b125_topk0p05,0.363636,0.218182,0.054545,0.421469,0.003472,0.20351,0.003472,0.003472,0.008773
carpet,wrn_l3_g8_b125_topk0p005,0.614286,0.685714,0.048889,1.0,0.002268,0.479746,0.006944,0.002268,0.010331
grid,res18_l23_g7_b6000_topk0p005,0.490909,0.381818,0.041379,0.199354,0.03125,0.111699,0.125,0.03125,0.123996
hazelnut,res18_l23_g14_b500_topk0p02,0.96,0.92,0.011429,0.199354,0.010417,0.100835,0.010417,0.010417,0.014267
leather,wrn_l3_g10_b125_topk0p005,1.0,0.9375,0.03913,1.0,0.003543,0.480411,0.006944,0.003543,0.012299
metal_nut,wrn_l3_g6_b1000_topk0p005,0.436363,0.4,0.06383,1.0,0.010204,0.483885,0.055556,0.010204,0.056631
pill,res18_l23_g5_b125_topk0p005,0.153846,0.184615,0.028169,0.199354,0.000332,0.095577,0.002604,0.000332,0.003075
screw,res18_l23_g14_b125_topk0p05,0.219047,0.038095,0.057627,0.199354,0.002604,0.096762,0.002604,0.002604,0.00658
tile,wrn_l3_g7_b125_topk0p005,0.776471,0.77647,0.038095,1.0,0.001736,0.479469,0.006944,0.001736,0.009511
toothbrush,wrn_l2_g5_b125_topk0p005,0.6,0.433333,0.066667,0.421469,0.000452,0.204059,0.003543,0.000452,0.004182
transistor,wrn_l3_g6_b500_topk0p005,0.526667,0.473333,0.11,1.0,0.005102,0.481224,0.027778,0.005102,0.029299
wood,res18_l23_g7_b125_topk0p005,0.8,0.711111,0.02,0.199354,0.000651,0.095743,0.002604,0.000651,0.003567
zipper,wrn_l3_g14_b1500_topk0p05,0.7,0.75,0.027118,1.0,0.083333,0.522017,0.083333,0.083333,0.092708
