sample_index,true_label,true_class,exit_after_layer1.0_pred_label,exit_after_layer1.0_pred_class,exit_after_layer1.0_correct,exit_after_layer1.0_confidence,exit_after_layer1.0_entropy,exit_after_layer2.0_pred_label,exit_after_layer2.0_pred_class,exit_after_layer2.0_correct,exit_after_layer2.0_confidence,exit_after_layer2.0_entropy,final_pred_label,final_pred_class,final_correct,final_confidence,final_entropy
0,8,ship,8,ship,True,0.67323476,0.39941648,0,airplane,False,0.49097353,0.45169073,8,ship,True,0.99175709,0.02386849
1,4,deer,4,deer,True,0.50996250,0.69265085,4,deer,True,0.87106383,0.24802020,4,deer,True,0.99931216,0.00297416
2,8,ship,8,ship,True,0.69587630,0.42706910,8,ship,True,0.64633870,0.30763939,8,ship,True,0.99912673,0.00311866
3,0,airplane,7,horse,False,0.53062725,0.53359896,0,airplane,True,0.99377608,0.02023493,0,airplane,True,0.99298465,0.02131201
4,3,cat,3,cat,True,0.50996679,0.44104090,3,cat,True,0.78625292,0.31991833,3,cat,True,0.96012092,0.09081608
5,3,cat,6,frog,False,0.41296574,0.60979855,6,frog,False,0.60623753,0.42226020,3,cat,True,0.73576409,0.28579277
6,8,ship,8,ship,True,0.96875989,0.06310894,8,ship,True,0.99213296,0.02024213,8,ship,True,0.99995565,0.00022383
7,9,truck,9,truck,True,0.48772439,0.54518634,9,truck,True,0.90541995,0.17044759,9,truck,True,0.98936683,0.02871041
8,3,cat,2,bird,False,0.25123814,0.87751043,3,cat,True,0.41944268,0.78289217,3,cat,True,0.87269336,0.25184375
9,3,cat,3,cat,True,0.48169625,0.43955120,3,cat,True,0.74091268,0.43799990,3,cat,True,0.99643826,0.01182172
10,1,automobile,9,truck,False,0.44292191,0.58249092,1,automobile,True,0.51407641,0.49094242,9,truck,False,0.71495450,0.26458177
11,7,horse,4,deer,False,0.85920781,0.23976272,4,deer,False,0.90968114,0.18208845,7,horse,True,0.93588388,0.10563122
12,7,horse,7,horse,True,0.57941788,0.39802498,7,horse,True,0.63820881,0.39391911,7,horse,True,0.94834310,0.09805404
13,0,airplane,0,airplane,True,0.65939283,0.57177705,0,airplane,True,0.94140822,0.12775169,0,airplane,True,0.99965310,0.00160744
14,5,dog,5,dog,True,0.54646045,0.48890468,6,frog,False,0.35988623,0.59141779,4,deer,False,0.75697625,0.32375592
15,0,airplane,0,airplane,True,0.62477976,0.40319800,0,airplane,True,0.91621590,0.17176309,0,airplane,True,0.99190420,0.02259389
16,5,dog,4,deer,False,0.33256158,0.82712734,2,bird,False,0.39158669,0.78321028,4,deer,False,0.64326167,0.52488935
17,8,ship,8,ship,True,0.97907043,0.05166233,8,ship,True,0.98927212,0.02838390,8,ship,True,0.98386335,0.03663003
18,7,horse,7,horse,True,0.78714877,0.34452042,7,horse,True,0.98363298,0.04359351,7,horse,True,0.99958795,0.00173300
19,1,automobile,1,automobile,True,0.95303595,0.10091738,1,automobile,True,0.99996614,0.00016701,1,automobile,True,0.99981803,0.00078300
20,5,dog,5,dog,True,0.69810045,0.38490203,5,dog,True,0.93008918,0.14494272,5,dog,True,0.99859291,0.00512362
21,9,truck,9,truck,True,0.71684283,0.30468869,9,truck,True,0.99775606,0.00703205,9,truck,True,0.99986637,0.00057764
22,3,cat,3,cat,True,0.55935460,0.52529854,3,cat,True,0.85827386,0.25391817,3,cat,True,0.77668595,0.35141042
23,1,automobile,1,automobile,True,0.84867787,0.18702832,1,automobile,True,0.94738036,0.08960190,1,automobile,True,0.93647784,0.10281102
24,1,automobile,8,ship,False,0.42186853,0.57640254,8,ship,False,0.33976430,0.60028017,1,automobile,True,0.99969506,0.00130800
25,5,dog,5,dog,True,0.86238837,0.19797900,5,dog,True,0.95832318,0.07817370,5,dog,True,0.99998271,0.00009116
26,3,cat,5,dog,False,0.54919785,0.50449026,5,dog,False,0.52679348,0.40192413,3,cat,True,0.92710161,0.12460180
27,6,frog,4,deer,False,0.61475122,0.48843831,6,frog,True,0.64565378,0.36751005,4,deer,False,0.76851606,0.34841859
28,3,cat,5,dog,False,0.31614518,0.71272069,3,cat,True,0.63574076,0.55457181,3,cat,True,0.38079280,0.70307130
29,6,frog,6,frog,True,0.87608951,0.22554991,6,frog,True,0.86118984,0.22953787,6,frog,True,0.99882382,0.00446035
30,3,cat,5,dog,False,0.32132655,0.67052126,3,cat,True,0.92457014,0.16211791,3,cat,True,0.99365991,0.01981752
31,8,ship,0,airplane,False,0.85084623,0.25889334,0,airplane,False,0.76568866,0.24081658,8,ship,True,0.95158768,0.08471119
32,8,ship,8,ship,True,0.65118206,0.56703466,8,ship,True,0.74000573,0.41208929,8,ship,True,0.90485877,0.18960132
33,4,deer,4,deer,True,0.80151898,0.26137322,4,deer,True,0.97206593,0.06566099,4,deer,True,0.99968898,0.00138782
34,0,airplane,0,airplane,True,0.88632667,0.21685031,0,airplane,True,0.98725700,0.03734971,0,airplane,True,0.99989879,0.00052627
35,0,airplane,2,bird,False,0.68384582,0.43047470,0,airplane,True,0.69418794,0.31328213,0,airplane,True,0.99555153,0.01410501
36,0,airplane,0,airplane,True,0.70534420,0.45134667,0,airplane,True,0.97613096,0.06588206,0,airplane,True,0.99951231,0.00214760
37,8,ship,8,ship,True,0.77326673,0.26870400,8,ship,True,0.85550535,0.18593480,8,ship,True,0.98241240,0.03863618
38,8,ship,8,ship,True,0.53867590,0.65506917,8,ship,True,0.83989221,0.24536429,8,ship,True,0.99991763,0.00040524
39,8,ship,8,ship,True,0.93233097,0.13277595,8,ship,True,0.98599595,0.03424732,8,ship,True,0.99995148,0.00025047
40,7,horse,7,horse,True,0.53886980,0.53568929,7,horse,True,0.82670820,0.22002815,7,horse,True,0.99983001,0.00080907
41,2,bird,3,cat,False,0.41480270,0.59827042,3,cat,False,0.61202121,0.53124648,3,cat,False,0.61748797,0.40228266
42,0,airplane,0,airplane,True,0.39964038,0.75519234,0,airplane,True,0.96802026,0.07758858,0,airplane,True,0.99646747,0.01141767
43,3,cat,2,bird,False,0.40570650,0.69540054,3,cat,True,0.40067354,0.61437488,3,cat,True,0.77847022,0.35648185
44,8,ship,8,ship,True,0.81475455,0.25957069,8,ship,True,0.99449462,0.01591589,8,ship,True,0.99960989,0.00155250
45,6,frog,6,frog,True,0.51309013,0.46817228,6,frog,True,0.95628202,0.09880419,4,deer,False,0.68488634,0.35163110
46,3,cat,5,dog,False,0.33060554,0.68773341,3,cat,True,0.76166481,0.33164278,3,cat,True,0.99667680,0.00976586
47,5,dog,3,cat,False,0.48300508,0.43027464,5,dog,True,0.59223968,0.42620757,5,dog,True,0.95620310,0.09101467
48,4,deer,4,deer,True,0.67769772,0.52730548,4,deer,True,0.89743984,0.19905986,4,deer,True,0.99945468,0.00225177
49,1,automobile,8,ship,False,0.74323922,0.41408086,1,automobile,True,0.87468302,0.21885867,1,automobile,True,0.99988425,0.00053235
50,4,deer,4,deer,True,0.47507408,0.43268755,4,deer,True,0.94542056,0.09594133,4,deer,True,0.99313653,0.02105744
51,2,bird,2,bird,True,0.32828280,0.63181508,2,bird,True,0.57024598,0.47668436,2,bird,True,0.88849938,0.20404997
52,5,dog,5,dog,True,0.37533870,0.64646316,5,dog,True,0.67734200,0.48126158,5,dog,True,0.99633324,0.01270480
53,2,bird,0,airplane,False,0.67058867,0.37464541,0,airplane,False,0.57848024,0.40457526,2,bird,True,0.84176141,0.21227270
54,2,bird,6,frog,False,0.69518316,0.42034712,3,cat,False,0.31589290,0.59320235,2,bird,True,0.98498821,0.04026789
55,3,cat,3,cat,True,0.53519166,0.40671402,3,cat,True,0.90456212,0.17200223,3,cat,True,0.99988747,0.00050693
56,4,deer,6,frog,False,0.30183664,0.67685384,4,deer,True,0.46990779,0.52516323,4,deer,True,0.74107200,0.28682333
57,4,deer,7,horse,False,0.29800701,0.80321264,7,horse,False,0.33114842,0.77461112,4,deer,True,0.99549794,0.01469016
58,8,ship,8,ship,True,0.81472600,0.25296575,8,ship,True,0.77035385,0.25648800,8,ship,True,0.98796695,0.02906622
59,1,automobile,1,automobile,True,0.92475224,0.13220565,1,automobile,True,0.99999571,0.00002542,1,automobile,True,0.99998605,0.00007621
60,6,frog,6,frog,True,0.90843552,0.17798716,6,frog,True,0.87139243,0.22499526,6,frog,True,0.97539812,0.06239872
61,1,automobile,1,automobile,True,0.49511963,0.68431675,1,automobile,True,0.64643335,0.42347342,1,automobile,True,0.98997307,0.02954813
62,3,cat,5,dog,False,0.82253510,0.22269173,5,dog,False,0.65952373,0.30590445,3,cat,True,0.88977712,0.16329974
63,5,dog,5,dog,True,0.61521536,0.38499704,5,dog,True,0.53944522,0.36097047,5,dog,True,0.99853683,0.00491945
64,1,automobile,1,automobile,True,0.96170628,0.07343876,1,automobile,True,0.99943572,0.00208437,1,automobile,True,0.99999976,0.00000188
65,3,cat,5,dog,False,0.46496940,0.53622562,3,cat,True,0.77316189,0.30297279,3,cat,True,0.91204882,0.16141143
66,3,cat,4,deer,False,0.25390103,0.81302577,3,cat,True,0.76141065,0.28685218,3,cat,True,0.86090851,0.23827294
67,0,airplane,2,bird,False,0.65083241,0.30471995,0,airplane,True,0.95935142,0.07555612,0,airplane,True,0.99038893,0.02418186
68,9,truck,9,truck,True,0.78865045,0.30572572,9,truck,True,0.98987472,0.02783326,9,truck,True,0.99847144,0.00499491
69,7,horse,3,cat,False,0.66338378,0.48085180,3,cat,False,0.47783971,0.56426078,7,horse,True,0.99534351,0.01585565
70,5,dog,4,deer,False,0.57782662,0.49020633,7,horse,False,0.56123149,0.54609334,5,dog,True,0.92628980,0.14488988
71,4,deer,4,deer,True,0.70891547,0.43349051,4,deer,True,0.99784446,0.00719472,4,deer,True,1.00000000,0.00000050
72,8,ship,8,ship,True,0.75089639,0.31053352,0,airplane,False,0.53118932,0.38720000,8,ship,True,0.96780753,0.06758679
73,5,dog,2,bird,False,0.41279542,0.62172657,5,dog,True,0.71690369,0.40045965,5,dog,True,0.81653273,0.20883457
74,2,bird,2,bird,True,0.85463637,0.28239018,2,bird,True,0.91631037,0.16882770,2,bird,True,0.99802232,0.00710313
75,4,deer,3,cat,False,0.33231062,0.71636426,4,deer,True,0.59234458,0.54723758,4,deer,True,0.99999762,0.00001551
76,3,cat,6,frog,False,0.51364321,0.49296364,6,frog,False,0.57810336,0.32265288,3,cat,True,0.99675179,0.01061962
77,5,dog,5,dog,True,0.56865114,0.41386139,5,dog,True,0.98694265,0.03329154,5,dog,True,0.99994636,0.00025568
78,9,truck,9,truck,True,0.56989694,0.50181115,9,truck,True,0.96545511,0.07636795,0,airplane,False,0.48149458,0.38239333
79,6,frog,6,frog,True,0.81035399,0.30010355,6,frog,True,0.97751868,0.05583888,6,frog,True,0.99995971,0.00020751
